SỞ Y TẾ HÀ NỘI
BỆNH VIỆN TIM HÀ NỘI
VÌ MỘT TRÁI TIM KHỎE

BẢNG GIÁ BẢO HIỂM Y TẾ

===================================================================
MỤC LỤC
===================================================================
DANH MỤC                                             CHỈ MÀU ĐÁNH DẤU
1. BẢNG GIÁ KHÁM BỆNH VÀ NGÀY GIƯỜNG                 (tím)
2. BẢNG GIÁ XÉT NGHIỆM                                (cam)
3. BẢNG GIÁ THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH           (xanh lá)
4. BẢNG GIÁ CHỤP CỘNG HƯỞNG TỪ                        (vàng)
5. BẢNG GIÁ CHỤP CẮT LỚP VI TÍNH                      (đỏ)
6. BẢNG GIÁ CAN THIỆP TIM MẠCH                        (xanh dương)

Ghi chú chung: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT
của Bộ Y tế hiện hành (một số mục Chụp cắt lớp vi tính áp dụng thêm
điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành).
Đơn vị tính: VNĐ

===================================================================
1. BẢNG GIÁ BẢO HIỂM Y TẾ - KHÁM BỆNH VÀ NGÀY GIƯỜNG ĐIỀU TRỊ
===================================================================
STT | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | Khám bệnh | 42.100 |
2 | Giường Nội khoa | 255.300 |
3 | Giường Hồi sức cấp cứu | 474.700 |
4 | Giường Hồi sức tích cực | 786.300 |
5 | Giường Ngoại khoa loại 1 | 339.000 |
6 | Giường Ngoại khoa loại 2 | 308.500 |
7 | Giường Ngoại khoa loại 3 | 270.500 |
8 | Giường Ngoại khoa loại 4 | 242.100 |

===================================================================
2. BẢNG GIÁ BẢO HIỂM Y TẾ - XÉT NGHIỆM
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
100 | 01.0080.0206 | Thay canuyn mở khí quản | 253.000 |
101 | 01.0157.0508 | Cố định lồng ngực do chấn thương gãy xương sườn | 53.000 |
102 | 01.0089.0206 | Đặt canuyn mở khí quản 02 nòng | 253.000 |
103 | 01.0092.0001 | Siêu âm màng phổi cấp cứu | 49.300 |
104 | 01.0093.0079 | Chọc hút dịch – khí màng phổi bằng kim hay catheter | 150.000 |
105 | 01.0097.0111 | Dẫn lưu màng phổi liên tục ≤ 8 giờ | 188.000 |
106 | 01.0132.0209 | Thông khí nhân tạo xâm nhập [1 ngày] | 583.000 |
107 | 01.0202.0083 | Chọc dịch tuỷ sống | 114.000 |
108 | 01.0219.0160 | Rửa dạ dày loại bỏ chất độc bằng hệ thống kín | 601.000 |
109 | 01.0232.0140 | Nội soi dạ dày thực quản cấp cứu chẩn đoán và cầm máu | 753.000 |
110 | 01.0244.0165 | Chọc dẫn lưu ổ áp xe dưới siêu âm | 620.000 | Chưa bao gồm ống thông.
111 | 02.0011.0079 | Chọc hút khí màng phổi | 150.000 |
112 | 02.0012.0095 | Dẫn lưu màng phổi, ổ áp xe phổi dưới hướng dẫn của siêu âm | 697.000 |
113 | 02.0013.0096 | Dẫn lưu màng phổi, ổ áp xe phổi dưới hướng dẫn của chụp cắt lớp vi tính | 1.218.000 |
114 | 02.0032.0898 | Khí dung thuốc giãn phế quản | 23.000 |
115 | 02.0038.0125 | Nội soi màng phổi, sinh thiết màng phổi | 5.814.000 |
116 | 02.0039.0124 | Nội soi màng phổi, gây dính bằng thuốc/ hóa chất | 5.036.000 |
117 | 02.0058.0122 | Nghiệm pháp hồi phục phế quản với thuốc giãn phế quản | 101.000 |
118 | 02.0061.0164 | Rút ống dẫn lưu màng phổi, ống dẫn lưu ổ áp xe | 184.000 |
119 | 02.0062.0161 | Rửa phổi toàn bộ | 8.428.000 |
120 | 02.0074.0081 | Chọc dò và dẫn lưu màng ngoài tim | 259.000 |
121 | 01.0163.0121 | Mở thông bàng quang trên xương mu | 384.000 |
122 | 01.0164.0210 | Thông bàng quang | 94.300 |
123 | 01.0173.0195 | Lọc máu cấp cứu (ở người chưa có mở thông động tĩnh mạch) | 1.565.000 | Quả lọc dây máu dùng 1 lần; đã bao gồm catheter 2 nòng được tính bình quân là 0,25 lần cho 1 lần chạy thận.
124 | 01.0176.0118 | Lọc máu liên tục cấp cứu (CVVH) | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
125 | 01.0177.0118 | Lọc máu liên tục cấp cứu có thẩm tách (CVVHD) | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
126 | 01.0178.0118 | Lọc máu liên tục cấp cứu (CVVH) cho người bệnh sốc nhiễm khuẩn | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
127 | 01.0179.0118 | Lọc máu liên tục cấp cứu (CVVH) cho người bệnh suy đa tạng | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
128 | 01.0180.0118 | Lọc máu liên tục cấp cứu (CVVH) cho người bệnh viêm tụy cấp | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
129 | 01.0181.0118 | Lọc máu thẩm tách liên tục cấp cứu (CVVHDF) | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
130 | 01.0182.0118 | Lọc máu thẩm tách liên tục cấp cứu (CVVHDF) cho người bệnh sốc nhiễm khuẩn | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
131 | 01.0183.0118 | Lọc máu thẩm tách liên tục cấp cứu (CVVHDF) cho người bệnh suy đa tạng | 2.248.000 | Chưa bao gồm quả lọc, bộ dây dẫn và dịch lọc.
132 | 02.0204.0116 | Lọc màng bụng cấp cứu liên tục [Lọc màng bụng chu kỳ (CAPD)] | 574.000 |
133 | 01.0188.0117 | Lọc màng bụng cấp cứu liên tục [bằng máy] | 988.000 |
134 | 01.0199.0119 | Lọc máu hấp phụ với than hoạt trong ngộ độc cấp | 1.672.000 |
135 | 02.0382.0213 | Tiêm khớp háng | 96.200 | Chưa bao gồm thuốc tiêm.
136 | 02.0378.0174 | Sinh thiết màng hoạt dịch dưới hướng dẫn của siêu âm | 1.128.000 |
137 | 02.0340.0086 | Chọc hút tế bào bằng kim nhỏ | 116.000 |
138 | 02.0341.0086 | Chọc hút tế bào xương bằng kim nhỏ | 116.000 |
139 | 02.0342.0086 | Chọc hút tế bào phần mềm bằng kim nhỏ | 116.000 |
140 | 02.0381.0213 | Tiêm khớp gối | 96.200 | Chưa bao gồm thuốc tiêm.
141 | 02.0383.0213 | Tiêm khớp cổ chân | 96.200 | Chưa bao gồm thuốc tiêm.
142 | 02.0384.0213 | Tiêm khớp bàn ngón chân | 96.200 | Chưa bao gồm thuốc tiêm.
143 | 02.0385.0213 | Tiêm khớp cổ tay | 96.200 | Chưa bao gồm thuốc tiêm.
144 | 02.0386.0213 | Tiêm khớp bàn ngón tay | 96.200 | Chưa bao gồm thuốc tiêm.
145 | 02.0387.0213 | Tiêm khớp đốt ngón tay | 96.200 | Chưa bao gồm thuốc tiêm.
146 | 02.0388.0213 | Tiêm khớp khuỷu tay | 96.200 | Chưa bao gồm thuốc tiêm.
147 | 02.0389.0213 | Tiêm khớp vai | 96.200 | Chưa bao gồm thuốc tiêm.
148 | 02.0390.0213 | Tiêm khớp ức - đòn | 96.200 | Chưa bao gồm thuốc tiêm.
149 | 02.0391.0213 | Tiêm khớp ức - sườn | 96.200 | Chưa bao gồm thuốc tiêm.
150 | 02.0392.0213 | Tiêm khớp đòn - cùng vai | 96.200 | Chưa bao gồm thuốc tiêm.
151 | 02.0394.0320 | Tiêm ngoài màng cứng | 336.000 |
152 | 02.0396.0213 | Tiêm điểm bám gân mỏm trâm quay (mỏm trâm trụ) | 96.200 | Chưa bao gồm thuốc tiêm.
153 | 02.0396.0213 | Tiêm điểm bám gân lồi cầu trong (lồi cầu ngoài) xương cánh tay | 96.200 | Chưa bao gồm thuốc tiêm.
154 | 02.0398.0213 | Tiêm điểm bám gân quanh khớp gối | 96.200 | Chưa bao gồm thuốc tiêm.
155 | 02.0400.0213 | Tiêm hội chứng đường hầm cổ tay | 96.200 | Chưa bao gồm thuốc tiêm.
156 | 02.0401.0213 | Tiêm gân gấp ngón tay | 96.200 | Chưa bao gồm thuốc tiêm.
157 | 02.0402.0213 | Tiêm gân nhị đầu khớp vai | 96.200 | Chưa bao gồm thuốc tiêm.
158 | 02.0403.0213 | Tiêm gân trên gai (dưới gai, gân bao xoay khớp vai) | 96.200 | Chưa bao gồm thuốc tiêm.
159 | 02.0404.0213 | Tiêm điểm bám gân mỏm cùng vai | 96.200 | Chưa bao gồm thuốc tiêm.
160 | 02.0405.0213 | Tiêm điểm bám gân mỏm trâm quay (trâm trụ) | 96.200 | Chưa bao gồm thuốc tiêm.
161 | 02.0406.0213 | Tiêm gân gót | 96.200 | Chưa bao gồm thuốc tiêm.
162 | 02.0407.0213 | Tiêm cân gan chân | 96.200 | Chưa bao gồm thuốc tiêm.
163 | 02.0411.0213 | Tiêm khớp gối dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
164 | 02.0412.0213 | Tiêm khớp háng dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
165 | 02.0413.0213 | Tiêm khớp cổ chân dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
166 | 02.0414.0213 | Tiêm khớp bàn ngón chân dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
167 | 02.0415.0213 | Tiêm khớp cổ tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
168 | 02.0416.0213 | Tiêm khớp bàn ngón tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
169 | 02.0417.0213 | Tiêm khớp đốt ngón tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
170 | 02.0418.0214 | Tiêm khớp khuỷu tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
171 | 02.0429.0213 | Tiêm điểm bám gân mỏm cùng vai dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
172 | 02.0428.0214 | Tiêm gân trên gai (dưới gai, gân bao xoay khớp vai) dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
173 | 02.0419.0213 | Tiêm khớp vai dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
174 | 02.0420.0213 | Tiêm khớp ức đòn dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
175 | 02.0421.0213 | Tiêm khớp ức – sườn dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
176 | 02.0422.0213 | Tiêm khớp đòn- cùng vai dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
177 | 02.0423.0214 | Tiêm khớp thái dương hàm dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
178 | 02.0424.0213 | Tiêm hội chứng DeQuervain dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
179 | 02.0425.0214 | Tiêm hội chứng đường hầm cổ tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
180 | 02.0426.0213 | Tiêm gân gấp ngón tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
181 | 02.0427.0213 | Tiêm gân gấp ngón tay dưới hướng dẫn của siêu âm | 138.000 | Chưa bao gồm thuốc tiêm.
182 | 02.0349.0112 | Hút dịch khớp gối | 120.000 |
183 | 02.0361.0112 | Hút nang bao hoạt dịch | 120.000 |
184 | 13.0152.0589 | Bóc nang tuyến Bartholin | 1.309.000 |
185 | 13.0153.0603 | Chích rạch màng trinh do ứ máu kinh | 825.000 |
186 | 13.0151.0601 | Chích áp xe tuyến Bartholin | 875.000 |
187 | 13.0160.0606 | Chọc dò túi cùng Douglas | 291.000 |
188 | 13.0053.0594 | Cắt chỉ khâu vòng cổ tử cung | 125.000 |
189 | 13.0155.0334 | Cắt, đốt sùi mào gà âm hộ, âm đạo, tầng sinh môn | 758.000 |
190 | 13.0157.0619 | Hút buồng tử cung do rong kinh, rong huyết | 215.000 |
191 | 13.0149.0624 | Khâu rách cùng đồ âm đạo | 1.979.000 |
192 | 13.0052.0626 | Khâu vòng cổ tử cung | 561.000 |
193 | 13.0040.0629 | Làm thuốc vết khâu tầng sinh môn nhiễm khuẩn | 88.900 |
194 | 13.0144.0721 | Thủ thuật xoắn polip cổ tử cung, âm đạo | 406.000 |
195 | 13.0156.0639 | Nong buồng tử cung đặt dụng cụ chống dính | 597.000 |
196 | 13.0148.0630 | Lấy dị vật âm đạo | 602.000 |
197 | 13.0158.0634 | Nạo hút thai trứng | 824.000 |
198 | 13.0049.0635 | Nạo sót thai, nạo sót rau sau sẩy, sau đẻ | 355.000 |
199 | 13.0239.0645 | Phá thai bằng thuốc cho tuổi thai đến hết 7 tuần | 189.000 |
200 | 13.0238.0648 | Phá thai từ tuần thứ 6 đến hết 12 tuần bằng phương pháp hút chân không | 408.000 |
201 | 13.0241.0644 | Phá thai đến hết 7 tuần bằng phương pháp hút chân không | 408.000 |
202 | 13.0154.0712 | Sinh thiết cổ tử cung, âm hộ, âm đạo | 393.000 |
203 | 13.0166.0715 | Soi cổ tử cung | 63.900 |
204 | 13.0145.0611 | Điều trị tổn thương cổ tử cung bằng đốt điện, đốt nhiệt, đốt laser, áp lạnh... | 170.000 |
205 | 02.0002.0071 | Bơm rửa khoang màng phổi | 227.000 |
206 | 02.0003.0073 | Bơm streptokinase vào khoang màng phổi | 1.027.000 |
207 | 01.0223.0211 | Đặt ống thông hậu môn | 85.900 |
208 | 02.0025.0109 | Gây dính màng phổi bằng thuốc/ hóa chất qua ống dẫn lưu màng phổi | 207.000 |
209 | 09.9000.1894 | Gây mê khác | 761.000 |
210 | 02.0026.0111 | Hút dẫn lưu khoang màng phổi bằng máy hút áp lực âm liên tục | 188.000 |
211 | 09.0123.0898 | Khí dung đường thở ở bệnh nhân nặng | 23.000 |
212 | 01.0201.0849 | Soi đáy mắt cấp cứu | 55.300 |
213 | 10.1113.0398 | Phẫu thuật đặt catheter ổ bụng để lọc màng bụng | 7.476.000 |
214 | 01.0008.0100 | Đặt catheter tĩnh mạch trung tâm nhiều nòng | 1.137.000 |
215 | 01.0032.0299 | Sốc điện ngoài lồng ngực cấp cứu | 485.000 |
216 | 02.0081.0054 | Đặt bóng đối xung động mạch chủ | 6.926.000 |
217 | 01.0048.0290 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ [Phẫu thuật đặt hệ thống tim phổi nhân tạo (ECMO)] | 5.367.000 | Chưa bao gồm bộ tim phổi, dây dẫn và canuyn chạy ECMO.
218 | 01.0048.0291 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ [Thay dây, thay tim phổi (ECMO)] | 1.558.000 | Chưa bao gồm bộ tim phổi, dây dẫn và canuyn chạy ECMO.
219 | 01.0048.0292 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ [Theo dõi, chạy tim phổi nhân tạo (ECMO) mỗi 12 giờ] | 1.404.000 | Áp dụng thanh toán cho mỗi 8 giờ thực hiện.
220 | 01.0048.0293 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ [Kết thúc và rút hệ thống ECMO] | 2.536.000 |
221 | 01.0049.0290 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ [Phẫu thuật đặt hệ thống tim phổi nhân tạo (ECMO)] | 5.367.000 | Chưa bao gồm bộ tim phổi, dây dẫn và canuyn chạy ECMO.
222 | 01.0049.0291 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ [Thay dây, thay tim phổi (ECMO)] | 1.558.000 | Chưa bao gồm bộ tim phổi, dây dẫn và canuyn chạy ECMO.
223 | 01.0049.0292 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ [Theo dõi, chạy tim phổi nhân tạo (ECMO) mỗi 12 giờ] | 1.404.000 | Áp dụng thanh toán cho mỗi 12 giờ thực hiện.
224 | 01.0049.0293 | Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ [Kết thúc và rút hệ thống ECMO] | 2.536.000 |
225 | 21.0106.1800 | Nghiệm pháp dung nạp Glucose đường uống 2 mẫu có định lượng Insulin kèm theo | 132.000 |
226 | 02.0075.0081 | Chọc dò màng ngoài tim | 259.000 |
227 | 02.0076.0081 | Dẫn lưu màng ngoài tim | 259.000 |
228 | 01.0087.0898 | Khí dung thuốc qua thở máy (một lần) | 23.000 | Chưa bao gồm thuốc khí dung.
229 | 02.0204.0116 | Lọc màng bụng chu kỳ (CAPD) | 574.000 |
230 | 01.0073.0120 | Mở khí quản thường quy | 734.000 |
231 | 01.0218.0159 | Rửa dạ dày cấp cứu | 131.000 |
232 | 02.0075.0081 | Chọc dò màng ngoài tim | 259.000 |
233 | 02.0120.0192 | Sốc điện điều trị rung nhĩ | 1.008.000 |
234 | 02.0188.0210 | Đặt sonde bàng quang | 94.300 |
235 | 01.0132.0209 | Thông khí nhân tạo xâm nhập [1 ngày] | 583.000 |
236 | 01.0216.0103 | Đặt ống thông dạ dày | 94.300 |
237 | 01.0007.0099 | Đặt catheter tĩnh mạch trung tâm 01 nòng | 664.000 |
238 | 02.0009.0077 | Chọc dò dịch màng phổi | 143.000 |
239 | 01.0158.0074 | Cấp cứu ngừng tuần hoàn hô hấp cơ bản | 498.000 | Bao gồm cả bóng dùng nhiều lần.
240 | 01.0066.1888 | Đặt ống nội khí quản | 579.000 |
241 | 01.0202.0083 | Chọc dịch tuỷ sống | 114.000 | Chưa bao gồm kim chọc dò.
242 | 03.3821.0216 | Cắt lọc tổ chức hoại tử hoặc cắt lọc vết thương đơn giản | 184.000 |
243 | 03.3826.0200 | Thay băng, cắt chỉ vết mổ (≤ 15cm) [NHI KHOA] | 60.000 | Chỉ áp dụng với BN ngoại trú
244 | 10.9003.0200 | Thay băng [Thay băng vết thương hoặc mổ chiều dài ≤ 15cm] | 60.000 | Chỉ áp dụng với BN ngoại trú
245 | 10.9003.0201 | Thay băng [Thay băng vết thương chiều dài trên 15cm đến 30 cm; sau phẫu thuật CÓ TỪ HAI ĐƯỜNG MỔ TRỞ LÊN; vết mổ nhiễm trùng] | 85.000 |
246 | 10.9003.0202 | Thay băng [Thay băng vết thương hoặc mổ chiều dài từ trên 30 cm đến 50 cm] | 115.000 |
247 | 10.9003.0204 | Thay băng [Thay băng vết thương hoặc mổ chiều dài từ 30 cm đến 50 cm nhiễm trùng] | 184.000 |
248 | 03.3827.0216 | Khâu vết thương phần mềm dài dưới 10cm (Khâu vết thương phần mềm tổn thương nông chiều dài < 10 cm) | 184.000 |
249 | 02.0008.0078 | Chọc tháo dịch màng phổi dưới hướng dẫn của siêu âm | 183.000 |
250 | 03.0080.0079 | Chọc hút/dẫn lưu khí màng phổi áp lực thấp [NHI KHOA] | 150.000 |
251 | 01.0158.0074 | Cấp cứu ngừng tuần hoàn hô hấp cơ bản | 498.000 |
252 | 02.0163.0203 | Thay băng các vết loét hoại tử rộng sau TBMMN | 139.000 |
253 | 01.0346.0097 | Khai thông mạch não bằng điều trị thuốc tiêu sợi huyết trong nhồi máu não cấp | 557.000 | Chưa bao gồm thuốc tiêu sợi huyết.
254 | 01.0322.0097 | Khai thông động mạch vành bằng sử dụng thuốc tiêu sợi huyết trong điều trị nhồi máu cơ tim cấp | 557.000 | Chưa bao gồm thuốc tiêu sợi huyết.
255 | 03.0080.0079 | Chọc hút/dẫn lưu khí màng phổi áp lực thấp | 150.000 |
256 | 01.0094.0111 | Dẫn lưu khí màng phổi áp lực thấp < 8 giờ | 188.000 |
257 | 02.0011.0079 | Chọc hút khí màng phổi | 150.000 |
258 | 01.0132.0209 | Thông khí nhân tạo xâm nhập [giờ theo thực tế] | 583.000 |
259 | 02.0205.0119 | Lọc huyết tương (Plasmapheresis) | 1.672.000 |
260 | 02.0150.0114 | Hút đờm hầu họng | 12.200 |
261 | 01.0056.0300 | Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút) | 337.000 |
262 | 01.0055.0114 | Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút) | 12.200 |
263 | 01.0281.1510 | Xét nghiệm đường máu mao mạch tại giường (một lần) | 15.500 |
264 | 02.0188.0210 | Đặt sonde bàng quang | 94.300 |
265 | 01.0173.0195 | Lọc máu cấp cứu (ở người chưa có mở thông động tĩnh mạch) [TRƯỜNG HỢP PHẢI ĐẶT CATHETER] | 1.565.000 | Quả lọc dây máu dùng 1 lần; đã bao gồm catheter 2 nòng được tính bình quân là 0,25 lần cho 1 lần chạy thận.
266 | 01.0173.0195 | Lọc máu cấp cứu (ở người đã mở thông động tĩnh mạch) [TRƯỜNG HỢP KHÔNG PHẢI ĐẶT CATHETER] | 1.565.000 |
267 | 01.0173.0195 | Thận nhân tạo cấp cứu [TRƯỜNG HỢP KHÔNG PHẢI ĐẶT CATHETER] | 1.565.000 |
268 | 01.0173.0195 | Thận nhân tạo cấp cứu [TRƯỜNG HỢP PHẢI ĐẶT CATHETER] | 1.565.000 | Quả lọc dây máu dùng 1 lần; đã bao gồm catheter 2 nòng được tính bình quân là 0,25 lần cho 1 lần chạy thận.
269 | 15.0222.0898 | Khí dung mũi họng [TAI MŨI HỌNG] | 23.000 |
270 | 08.0004.0224 | Nhĩ châm | 69.400 |
271 | 08.0006.0271 | Thủy châm | 70.100 |
272 | 08.0008.0224 | Ôn châm | 69.400 |
273 | 08.0009.0228 | Cứu | 36.100 |
274 | 08.0010.0224 | Chích lể | 69.400 |
275 | 08.0011.0243 | Laser châm | 49.100 |
276 | 08.0013.0238 | Kéo nắn cột sống cổ | 48.700 |
277 | 08.0014.0238 | Kéo nắn cột sống thắt lưng | 48.700 |
278 | 08.0166.0230 | Điện nhĩ châm điều trị liệt dây VII ngoại biên | 71.400 |
279 | 08.0168.0230 | Điện nhĩ châm điều trị thiểu năng tuần hoàn não mạn tính | 71.400 |
280 | 08.0169.0230 | Điện nhĩ châm điều trị đau đầu, đau nửa đầu | 71.400 |
281 | 08.0170.0230 | Điện nhĩ châm điều trị mất ngủ | 71.400 |
282 | 08.0177.0230 | Điện nhĩ châm điều trị liệt nửa người do tai biến mạch máu não | 71.400 |
283 | 08.0199.0230 | Điện nhĩ châm điều trị liệt chi trên | 71.400 |
284 | 08.0200.0230 | Điện nhĩ châm điều trị liệt chi dưới | 71.400 |
285 | 08.0279.0230 | Điện châm điều trị huyết áp thấp | 71.400 |
286 | 08.0280.0230 | Điện châm điều trị thiểu năng tuần hoàn não mạn tính | 71.400 |
287 | 08.0301.0230 | Điện châm điều trị liệt chi trên | 71.400 |
288 | 08.0330.0271 | Thuỷ châm điều trị liệt nửa người do tai biến mạch máu não | 70.100 |
289 | 08.0354.0271 | Thuỷ châm điều trị huyết áp thấp | 70.100 |
290 | 08.0355.0271 | Thuỷ châm điều trị thiểu năng tuần hoàn não mạn tính | 70.100 |
291 | 08.0389.0280 | Xoa bóp bấm huyệt điều trị liệt chi trên | 69.300 |
292 | 08.0390.0280 | Xoa bóp bấm huyệt điều trị liệt chi dưới | 69.300 |
293 | 08.0391.0280 | Xoa bóp bấm huyệt điều trị liệt nửa người do tai biến mạch máu não | 69.300 |
294 | 08.0447.0280 | Xoa bóp bấm huyệt điều trị giảm đau sau phẫu thuật | 69.300 |
295 | 08.0457.0228 | Cứu điều trị liệt chi trên thể hàn | 36.100 |
296 | 08.0458.0228 | Cứu điều trị liệt chi dưới thể hàn | 36.100 |
297 | 08.0459.0228 | Cứu điều trị liệt nửa người thể hàn | 36.100 |
298 | 08.0479.0235 | Giác hơi điều trị ngoại cảm phong hàn | 34.500 |
299 | 08.0480.0235 | Giác hơi điều trị ngoại cảm phong nhiệt | 34.500 |
300 | 08.0481.0235 | Giác hơi điều trị các chứng đau | 34.500 |
301 | 08.0005.0230 | Điện châm | 71.400 |
302 | 17.0033.0266 | Kỹ thuật tập tay và bàn tay cho người bệnh liệt nửa người | 45.700 |
303 | 17.0034.0267 | Kỹ thuật tập đứng và đi cho người bệnh liệt nửa người | 51.400 |
304 | 17.0037.0267 | Tập ngồi thăng bằng tĩnh và động | 51.400 |
305 | 17.0043.0268 | Tập đi với nạng (nạng nách, nạng khuỷu) | 30.600 |
306 | 17.0044.0268 | Tập đi với gậy | 30.600 |
307 | 17.0047.0268 | Tập lên, xuống cầu thang | 30.600 |
308 | 17.0048.0268 | Tập đi trên các địa hình khác nhau (dốc, sỏi, gồ ghề...) | 30.600 |
309 | 17.0052.0267 | Tập vận động thụ động | 51.400 |
310 | 17.0053.0267 | Tập vận động có trợ giúp | 51.400 |
311 | 17.0056.0267 | Tập vận động có kháng trở | 51.400 |
312 | 17.0071.0270 | Tập với xe đạp tập | 12.500 |
313 | 17.0073.0277 | Tập các kiểu thở | 31.100 |
314 | 17.0075.0277 | Tập ho có trợ giúp | 31.100 |
315 | 17.0078.0238 | Kỹ thuật kéo nắn trị liệu | 48.700 |
316 | 17.0085.0282 | Kỹ thuật xoa bóp vùng | 45.200 |
317 | 17.0086.0283 | Kỹ thuật xoa bóp toàn thân | 55.800 |
318 | 17.0104.0264 | Tập nuốt | 134.000 |
319 | 14.0166.0778 | Lấy dị vật giác mạc sâu [Lấy dị vật giác mạc nông, một mắt (gây tê)] | 88.400 |
320 | 14.0193.0856 | Tiêm dưới kết mạc [1 mắt] | 50.300 |
321 | 14.0194.0857 | Tiêm cạnh nhãn cầu [1 mắt] | 50.300 |
322 | 14.0197.0855 | Bơm thông lệ đạo [1 mắt] | 61.500 |
323 | 14.0200.0782 | Lấy dị vật kết mạc [1 mắt] | 67.000 |
324 | 14.0202.0785 | Lấy calci kết mạc | 37.300 |
325 | 14.0203.0075 | Cắt chỉ khâu da mi đơn giản [CHỈ ÁP DỤNG BN NGOẠI TRÚ] | 35.600 | Chỉ áp dụng cho BN ngoại trú
326 | 14.0204.0075 | Cắt chỉ khâu kết mạc [CHỈ ÁP DỤNG BN NGOẠI TRÚ] | 35.600 | Chỉ áp dụng cho BN ngoại trú
327 | 14.0205.0759 | Đốt lông xiêu, nhổ lông siêu | 50.000 |
328 | 14.0206.0730 | Bơm rửa lệ đạo | 38.300 |
329 | 14.0207.0738 | Chích chắp, lẹo, nang lông mi, chích áp xe mi, kết mạc | 81.000 |
330 | 14.0210.0799 | Nặn tuyến bờ mi, đánh bờ mi | 37.300 |
331 | 14.0211.0842 | Rửa cùng đồ | 44.000 |
332 | 14.0212.0864 | Cấp cứu bỏng mắt ban đầu | 340.000 |
333 | 14.0214.0778 | Bóc giả mạc [1 mắt] | 88.400 |
334 | 14.0215.0505 | Rạch áp xe mi | 197.000 |
335 | 14.0216.0505 | Rạch áp xe túi lệ | 197.000 |
336 | 14.0218.0849 | Soi đáy mắt trực tiếp | 55.300 |
337 | 16.0205.1024 | Nhổ chân răng vĩnh viễn | 200.000 |
